time,commits_tot,pending_tx_rate,reject_tot,block_num_tot,msg_sent_rate,blocks_count,pending_tx_tot,tx_in_process_rate,rest_api_batch_rate,commits_rate,msg_receive_rate,tx_exec_rate,reject_rate,block_num_rate,test#
1620734300,3118.277777777778,17.49248366013071,214.38888888888889,310.27777777777777,871.4,319.77777777777777,4028.722222222222,6.2,0.0,18.472222222222214,3474.2,22.944444444444457,0.0,0.7555555555555543,1
1620734310,3293.6666666666665,17.49248366013071,214.38888888888889,318.3333333333333,884.6,327.72222222222223,3853.3333333333335,2.6,0.0,17.53888888888887,3434.7,19.719444444444434,0.0,0.8055555555555542,1
1620734320,3465.833333333333,17.49248366013071,214.38888888888889,326.5,876.9,335.77777777777777,3681.1666666666665,2.6,0.0,17.216666666666697,3391.1,18.95,0.0,0.8166666666666685,1
1620734330,3629.6111111111113,17.49248366013071,214.38888888888889,334.6666666666667,874.5,343.94444444444446,3516.1666666666665,3.0,0.0,16.377777777777784,3363.0,18.594444444444434,0.0,0.8166666666666685,1
1620734340,3792.1666666666665,17.49248366013071,214.38888888888889,342.72222222222223,865.2,352.1666666666667,3354.1111111111118,0.9,0.0,16.25555555555552,3334.6,18.29444444444446,0.0,0.8055555555555542,1
1620734350,3951.294117647059,17.49248366013071,212.52941176470588,350.6470588235294,865.2,360.11764705882354,3191.5882352941176,2.0,0.0,15.912745098039249,3334.6,19.28905228758172,0.0,0.7924836601307164,1
1620734360,4114.722222222223,17.49248366013071,214.38888888888889,358.3333333333333,2602.0,367.94444444444446,3031.4444444444443,2.0,0.0,16.34281045751636,19854.3,18.08055555555552,24.6,0.7686274509803923,1
1620734370,4269.722222222223,17.49248366013071,214.38888888888889,366.3888888888889,853.8,376.1666666666667,2876.333333333333,2.0,0.0,15.5,3234.4,16.588725490196065,0.0,0.80555555555556,1
1620734380,4429.666666666667,17.49248366013071,214.38888888888889,374.5,858.1,384.1111111111111,2716.3888888888887,1.7,0.0,15.994444444444436,3275.1,17.53333333333335,0.0,0.8111111111111086,1
1620734390,4592.666666666667,17.49248366013071,214.38888888888889,382.55555555555554,856.9,392.1111111111111,2553.277777777778,1.7,6.1,16.3,3286.9,17.825,0.0,0.8055555555555542,1
