time,commits_tot,pending_tx_rate,reject_tot,block_num_tot,msg_sent_rate,blocks_count,pending_tx_tot,tx_in_process_rate,rest_api_batch_rate,commits_rate,msg_receive_rate,tx_exec_rate,reject_rate,block_num_rate,test_name,x_scaled
1620424356,4188.083333333333,0.4000000000000001,0.0,325.6666666666667,150.33333333333334,326.8333333333333,9.0,1.1333333333333333,22.163333333333338,22.35,1020.5666666666666,29.416666666666668,0.0,0.8916666666666666,25tps|4_nodes,64.42222222222222
1620424366,4409.25,0.3166666666666667,0.0,334.5833333333333,148.83333333333334,335.6666666666667,12.166666666666666,2.2666666666666666,22.16333333333332,22.116666666666664,1009.2666666666668,29.40416666666667,0.0,0.8916666666666666,25tps|4_nodes,69.37777777777778
1620424376,4635.583333333333,0.2833333333333334,0.0,343.5833333333333,150.63333333333335,344.6666666666667,10.25,2.533333333333333,22.160000000000007,22.633333333333336,1018.6,29.370833333333337,0.0,0.9,25tps|4_nodes,74.33333333333333
1620424386,4857.583333333333,0.2416666666666666,0.0,352.5,149.63333333333333,353.6666666666667,10.666666666666666,0.7000000000000001,22.183333333333337,22.2,1014.3,29.48333333333333,0.0,0.8916666666666666,25tps|4_nodes,79.28888888888889
1620424396,5078.75,0.4583333333333333,0.0,361.4166666666667,150.63333333333333,362.5,12.75,1.3999999999999997,22.166666666666668,22.116666666666664,1020.0,29.504166666666663,0.0,0.8916666666666666,25tps|4_nodes,84.24444444444444
1620424406,5290.0,0.6,0.0,370.0,152.46666666666667,371.4166666666667,16.25,0.8666666666666666,22.16999999999999,21.125,1032.2,29.9375,0.0,0.8583333333333334,25tps|4_nodes,89.2
1620424416,5508.833333333333,0.9833333333333334,0.0,379.0,150.0666666666667,380.0833333333333,24.08333333333333,1.6666666666666667,22.156666666666663,21.88333333333333,1020.5333333333332,29.9125,0.0,0.9,25tps|4_nodes,94.15555555555555
1620424426,5720.833333333333,0.9833333333333334,0.0,387.75,153.26666666666668,389.0,33.916666666666664,2.3666666666666667,22.133333333333336,21.2,1031.6,29.941666666666663,0.0,0.875,25tps|4_nodes,99.11111111111111
1620424436,5908.5,0.85,0.0,395.5,132.96666666666667,396.6666666666667,40.41666666666666,1.8333333333333333,22.166666666666668,18.766666666666666,929.3333333333334,28.34583333333333,0.0,0.775,25tps|4_nodes,104.06666666666666
1620424446,5990.833333333333,0.525,0.0,398.8333333333333,50.43333333333334,399.8333333333333,45.66666666666666,1.8333333333333333,22.15666666666669,8.233333333333334,487.0,18.03333333333333,0.0,0.3333333333333333,25tps|4_nodes,109.02222222222223
1620424456,5994.666666666667,0.0333333333333333,0.0,399.0,2.1333333333333333,400.0,46.0,0.0,22.143333333333302,0.3833333333333333,234.66666666666663,5.0375000000000005,0.0,0.0166666666666666,25tps|4_nodes,113.97777777777777
1620424466,5994.666666666667,0.0,0.0,399.0,0.5333333333333333,400.0,46.0,0.0,22.146666666666658,0.0,226.53333333333333,0.1916666666666666,0.0,0.0,25tps|4_nodes,118.93333333333334
1620424476,6061.5,32.175000000000004,0.0,401.25,57.26666666666667,402.4166666666667,367.75,1.2,22.16000000000004,6.683333333333334,534.0,5.883333333333333,0.0,0.225,25tps|4_nodes,123.88888888888889
1620424486,6268.25,45.00833333333333,0.0,408.25,136.23333333333332,409.4166666666667,817.8333333333334,1.6333333333333335,22.089999999999964,20.675,955.3333333333334,19.71666666666667,0.0,0.6999999999999998,25tps|4_nodes,128.84444444444443
1620424496,6478.416666666667,1.6083333333333332,0.0,416.4166666666667,155.50000000000003,417.6666666666667,833.9166666666666,2.9333333333333336,22.04666666666672,21.016666666666666,1057.8333333333333,29.5625,0.0,0.8166666666666668,25tps|4_nodes,133.8
1620424506,6683.916666666667,1.2166666666666666,0.0,424.6666666666667,150.96666666666667,425.8333333333333,846.0833333333334,2.6333333333333333,22.079999999999988,20.55,1029.9,30.929166666666664,0.0,0.8250000000000001,25tps|4_nodes,138.75555555555556
1620424516,6893.333333333333,1.7833333333333332,0.0,432.5833333333333,150.13333333333333,433.75,863.9166666666666,2.8666666666666667,22.096666666666653,20.941666666666663,1031.0666666666666,30.404166666666665,0.0,0.7916666666666666,25tps|4_nodes,143.7111111111111
1620424526,7089.416666666667,1.225,0.0,439.9166666666667,150.83333333333334,441.3333333333333,876.1666666666666,2.1333333333333333,22.136666666666645,19.60833333333333,1035.3333333333333,30.683333333333334,0.0,0.7333333333333334,25tps|4_nodes,148.66666666666666
1620424536,7305.833333333333,1.3833333333333335,0.0,447.0,151.43333333333334,448.1666666666667,880.25,0.5333333333333333,22.153333333333347,21.64166666666667,1049.6666666666667,31.28333333333333,0.0,0.7083333333333334,25tps|4_nodes,153.62222222222223
1620424546,7531.083333333333,1.6666666666666667,0.0,453.75,149.20000000000002,455.0,887.0,1.6333333333333335,22.16666666666666,22.524999999999995,1039.4333333333334,31.40416666666667,0.0,0.6749999999999999,25tps|4_nodes,158.57777777777778
1620424556,7734.75,1.9166666666666667,0.0,461.25,147.70000000000002,462.5,906.1666666666666,1.6333333333333335,22.14666666666669,20.366666666666667,1015.9666666666666,30.666666666666668,0.0,0.75,25tps|4_nodes,163.53333333333333
1620424566,7940.25,1.7833333333333332,0.0,468.75,143.4333333333333,469.8333333333333,924.0,2.566666666666667,22.11333333333333,20.55,997.0333333333332,29.666666666666668,0.0,0.75,25tps|4_nodes,168.48888888888888
1620424576,8144.416666666667,1.9,0.0,475.75,145.66666666666666,476.9166666666667,943.0,1.6666666666666667,22.096666666666653,20.416666666666668,1013.6,29.65,0.0,0.7000000000000001,25tps|4_nodes,173.44444444444446
1620424586,8342.333333333334,2.075,0.0,482.6666666666667,143.36666666666667,483.8333333333333,963.75,1.8666666666666665,22.156666666666723,19.791666666666668,998.5333333333334,29.84583333333333,0.0,0.6916666666666668,25tps|4_nodes,178.4
1620424596,8538.416666666666,2.2416666666666667,0.0,489.75,142.8,490.9166666666667,986.1666666666666,1.6666666666666667,22.21999999999989,19.60833333333333,995.9,29.433333333333334,0.0,0.7083333333333334,25tps|4_nodes,183.35555555555555
1620424606,8750.333333333334,2.1333333333333333,0.0,496.8333333333333,142.73333333333335,497.9166666666667,1003.0833333333334,1.3333333333333333,22.18666666666668,21.191666666666663,991.2333333333332,29.35,0.0,0.7083333333333334,25tps|4_nodes,188.3111111111111
1620424616,8946.333333333334,2.9250000000000003,0.0,503.0,151.29999999999998,504.0833333333333,1020.5833333333334,1.0333333333333334,22.16666666666673,19.6,1056.8333333333333,30.829166666666666,0.0,0.6166666666666667,25tps|4_nodes,193.26666666666668
1620424626,9156.416666666666,2.333333333333333,0.0,509.8333333333333,141.46666666666667,511.0,1043.9166666666667,3.0,22.15,21.008333333333336,989.9666666666668,30.725000000000005,0.0,0.6833333333333332,25tps|4_nodes,198.22222222222223
1620424636,9345.333333333334,2.233333333333333,0.0,516.4166666666666,142.6,517.5833333333334,1059.5833333333333,2.8000000000000003,22.11333333333326,18.891666666666666,998.1333333333332,29.47083333333333,0.0,0.6583333333333333,25tps|4_nodes,203.17777777777778
1620424646,9546.333333333334,3.3000000000000003,0.0,523.5833333333334,138.4333333333333,524.8333333333334,1092.5833333333333,2.6333333333333333,22.09666666666672,20.1,965.4333333333334,28.89166666666667,0.0,0.7166666666666668,25tps|4_nodes,208.13333333333333
1620424653,9668.333333333334,3.783333333333333,0.0,528.1666666666666,138.0,529.6666666666666,1117.75,2.6333333333333333,22.116666666666728,18.95833333333333,964.1,28.066666666666663,0.0,0.725,25tps|4_nodes,213.0888888888889
1620424656,9742.333333333334,3.783333333333333,0.0,530.6666666666666,145.9333333333333,532.1666666666666,1079.0833333333333,2.6333333333333333,21.720000000000077,20.48333333333333,960.4666666666666,28.804166666666664,0.0,0.7583333333333333,25tps|4_nodes,218.04444444444445
